league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,76023,2017-02-11 10:00:00.000,578,Stoke,1,NULL,1
9,Premier League,333,2016-2017,76024,2017-02-11 10:00:00.000,2108,Southampton,4,NULL,1
9,Premier League,333,2016-2017,76024,2017-02-11 10:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76025,2017-02-12 11:00:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,76025,2017-02-12 11:00:00.000,675,Swansea,2,NULL,1
9,Premier League,333,2016-2017,76026,2017-02-11 10:00:00.000,665,West Bromwich,2,NULL,2
9,Premier League,333,2016-2017,76026,2017-02-11 10:00:00.000,571,West Ham United,2,NULL,2
9,Premier League,333,2016-2017,76027,2017-02-25 10:00:00.000,675,Swansea,1,NULL,0
9,Premier League,333,2016-2017,76027,2017-02-25 10:00:00.000,580,Chelsea,3,NULL,1
9,Premier League,333,2016-2017,76028,2017-02-25 10:00:00.000,2294,Middlesbrough,0,NULL,0
9,Premier League,333,2016-2017,76028,2017-02-25 10:00:00.000,2139,Crystal Palace,1,NULL,1
9,Premier League,333,2016-2017,76029,2017-02-25 10:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76029,2017-02-25 10:00:00.000,568,Everton,2,NULL,1
9,Premier League,333,2016-2017,76030,2017-02-25 15:00:00.000,2199,Burnley,1,NULL,2
9,Premier League,333,2016-2017,76030,2017-02-25 15:00:00.000,2138,Hull City,1,NULL,2
9,Premier League,333,2016-2017,76031,2017-02-27 15:00:00.000,565,Liverpool,1,NULL,0
9,Premier League,333,2016-2017,76031,2017-02-27 15:00:00.000,2198,Leicester City,3,NULL,1
9,Premier League,333,2016-2017,76032,2017-04-27 20:00:00.000,562,Manchester United,0,NULL,2
9,Premier League,333,2016-2017,76032,2017-04-27 20:00:00.000,573,Manchester City,0,NULL,2
9,Premier League,333,2016-2017,76033,2017-05-10 19:45:00.000,569,Arsenal,2,NULL,1
9,Premier League,333,2016-2017,76033,2017-05-10 19:45:00.000,2108,Southampton,0,NULL,0
9,Premier League,333,2016-2017,76034,2017-02-26 08:30:00.000,578,Stoke,0,NULL,0
9,Premier League,333,2016-2017,76034,2017-02-26 08:30:00.000,564,Tottenham,4,NULL,1
9,Premier League,333,2016-2017,76035,2017-02-25 12:30:00.000,571,West Ham United,1,NULL,2
9,Premier League,333,2016-2017,76035,2017-02-25 12:30:00.000,2275,Watford,1,NULL,2
9,Premier League,333,2016-2017,76036,2017-02-25 10:00:00.000,2276,AFC Bournemouth,1,NULL,0
9,Premier League,333,2016-2017,76036,2017-02-25 10:00:00.000,665,West Bromwich,2,NULL,1
9,Premier League,333,2016-2017,76037,2017-03-04 10:00:00.000,2138,Hull City,1,NULL,0
9,Premier League,333,2016-2017,76037,2017-03-04 10:00:00.000,2198,Leicester City,3,NULL,1
9,Premier League,333,2016-2017,76038,2017-03-04 12:30:00.000,569,Arsenal,1,NULL,0
9,Premier League,333,2016-2017,76038,2017-03-04 12:30:00.000,565,Liverpool,3,NULL,1
9,Premier League,333,2016-2017,76039,2017-03-04 07:30:00.000,2276,AFC Bournemouth,1,NULL,2
9,Premier League,333,2016-2017,76039,2017-03-04 07:30:00.000,562,Manchester United,1,NULL,2
9,Premier League,333,2016-2017,76040,2017-03-04 10:00:00.000,2294,Middlesbrough,0,NULL,0
9,Premier League,333,2016-2017,76040,2017-03-04 10:00:00.000,578,Stoke,2,NULL,1
9,Premier League,333,2016-2017,76041,2017-03-05 11:00:00.000,573,Manchester City,2,NULL,1
9,Premier League,333,2016-2017,76041,2017-03-05 11:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76042,2017-03-04 10:00:00.000,2199,Burnley,2,NULL,0
9,Premier League,333,2016-2017,76042,2017-03-04 10:00:00.000,675,Swansea,3,NULL,1
9,Premier League,333,2016-2017,76043,2017-03-05 08:30:00.000,568,Everton,2,NULL,0
9,Premier League,333,2016-2017,76043,2017-03-05 08:30:00.000,564,Tottenham,3,NULL,1
9,Premier League,333,2016-2017,76044,2017-03-04 10:00:00.000,2108,Southampton,4,NULL,1
9,Premier League,333,2016-2017,76044,2017-03-04 10:00:00.000,2275,Watford,3,NULL,0
9,Premier League,333,2016-2017,76045,2017-03-04 10:00:00.000,2139,Crystal Palace,2,NULL,1
9,Premier League,333,2016-2017,76045,2017-03-04 10:00:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,76046,2017-03-06 15:00:00.000,580,Chelsea,2,NULL,1
9,Premier League,333,2016-2017,76046,2017-03-06 15:00:00.000,571,West Ham United,1,NULL,0
9,Premier League,333,2016-2017,76047,2017-03-11 10:00:00.000,571,West Ham United,2,NULL,0
9,Premier League,333,2016-2017,76047,2017-03-11 10:00:00.000,2276,AFC Bournemouth,3,NULL,1
9,Premier League,333,2016-2017,76048,2017-04-26 19:45:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,76048,2017-04-26 19:45:00.000,569,Arsenal,1,NULL,1
9,Premier League,333,2016-2017,76049,2017-03-12 12:00:00.000,565,Liverpool,0,NULL,2
9,Premier League,333,2016-2017,76049,2017-03-12 12:00:00.000,2199,Burnley,0,NULL,2
9,Premier League,333,2016-2017,76050,2017-05-15 20:00:00.000,2275,Watford,3,NULL,0
9,Premier League,333,2016-2017,76050,2017-05-15 20:00:00.000,580,Chelsea,4,NULL,1
9,Premier League,333,2016-2017,76051,2017-04-26 20:00:00.000,564,Tottenham,1,NULL,1
9,Premier League,333,2016-2017,76051,2017-04-26 20:00:00.000,2139,Crystal Palace,0,NULL,0
9,Premier League,333,2016-2017,76052,2017-03-11 10:00:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,76052,2017-03-11 10:00:00.000,568,Everton,3,NULL,1
9,Premier League,333,2016-2017,76053,2017-03-11 15:00:00.000,675,Swansea,1,NULL,0
9,Premier League,333,2016-2017,76053,2017-03-11 15:00:00.000,2138,Hull City,2,NULL,1
9,Premier League,333,2016-2017,76054,2017-03-08 15:00:00.000,578,Stoke,0,NULL,2
9,Premier League,333,2016-2017,76054,2017-03-08 15:00:00.000,573,Manchester City,0,NULL,2
9,Premier League,333,2016-2017,76055,2017-05-17 19:45:00.000,562,Manchester United,0,NULL,2
9,Premier League,333,2016-2017,76055,2017-05-17 19:45:00.000,2108,Southampton,0,NULL,2
9,Premier League,333,2016-2017,76056,2017-03-18 17:30:00.000,675,Swansea,0,NULL,0
9,Premier League,333,2016-2017,76056,2017-03-18 17:30:00.000,2276,AFC Bournemouth,2,NULL,1
